date,reg_rider,reg_driver,rider_to_driver_ratio
2025-09-16,126,17,7.411764705882353
2025-09-17,170,15,11.333333333333334
2025-09-18,178,7,25.428571428571427
2025-09-19,114,10,11.4
2025-09-20,127,15,8.466666666666667
2025-09-21,132,13,10.153846153846153
2025-09-22,199,10,19.9
2025-09-23,123,9,13.666666666666666
2025-09-24,124,8,15.5
2025-09-25,146,15,9.733333333333333
2025-09-26,211,9,23.444444444444443
2025-09-27,188,10,18.8
2025-09-28,124,9,13.777777777777779
2025-09-29,126,14,9.0
2025-09-30,117,10,11.7
2025-10-01,146,6,24.333333333333332
2025-10-02,141,8,17.625
2025-10-03,136,3,45.333333333333336
2025-10-04,136,7,19.428571428571427
2025-10-05,183,7,26.142857142857142
2025-10-06,205,5,41.0
2025-10-07,161,22,7.318181818181818
2025-10-08,184,11,16.727272727272727
2025-10-09,129,7,18.428571428571427
2025-10-10,94,8,11.75
2025-10-11,148,7,21.142857142857142
2025-10-12,131,7,18.714285714285715
2025-10-13,151,10,15.1
2025-10-14,124,8,15.5
2025-10-15,142,14,10.142857142857142
2025-10-16,135,15,9.0
2025-10-17,139,7,19.857142857142858
2025-10-18,170,9,18.88888888888889
2025-10-19,123,10,12.3
2025-10-20,96,6,16.0
2025-10-21,126,8,15.75
2025-10-22,127,11,11.545454545454545
2025-10-23,117,8,14.625
2025-10-24,125,11,11.363636363636363
2025-10-25,134,15,8.933333333333334
2025-10-26,145,10,14.5
2025-10-27,149,6,24.833333333333332
2025-10-28,131,11,11.909090909090908
2025-10-29,242,11,22.0
2025-10-30,122,15,8.133333333333333
2025-10-31,115,13,8.846153846153847
2025-11-01,142,15,9.466666666666667
2025-11-02,146,4,36.5
2025-11-03,132,8,16.5
2025-11-04,123,8,15.375
2025-11-05,96,11,8.727272727272727
2025-11-06,128,14,9.142857142857142
2025-11-07,120,7,17.142857142857142
2025-11-08,132,9,14.666666666666666
2025-11-09,101,6,16.833333333333332
2025-11-10,115,6,19.166666666666668
2025-11-11,93,8,11.625
2025-11-12,102,8,12.75
2025-11-13,106,4,26.5
2025-11-14,117,11,10.636363636363637
2025-11-15,139,8,17.375
2025-11-16,122,4,30.5
2025-11-17,118,9,13.11111111111111
2025-11-18,81,6,13.5
2025-11-19,96,8,12.0
2025-11-20,114,9,12.666666666666666
2025-11-21,77,9,8.555555555555555
2025-11-22,107,13,8.23076923076923
2025-11-23,114,6,19.0
2025-11-24,82,7,11.714285714285714
2025-11-25,80,9,8.88888888888889
